domain,post_id,text
poterjashkansk,2096021,"📍ЖК Светлый, пос. Октябрьский, Мошковский район
Сбежала из дома с 14.12 на 15.12.
Огромная просьба, кто видел или приютил ее - отзовитесь!
Это член семьи, собака сына, пожалуйста сообщите, любая информация очень важна!
8-999-450-61-22
💬 Автор: [id25411632|Алёна Братчикова] 

#поселок_Октябрьский@poterjashkansk
#Мошковский@poterjashkansk 
#НСО@poterjashkansk 
#poterjashkansk #потеряшканск 
#потерянныеживотныеновосибирск"
poterjashkansk,2096018,"📍ул. Вертковская, Ленинский район
16.12 ночью/утром с территории частного дома сбежал кобель, кличка Игорь.
Ростом по колено, полностью белый, в коричневом кожаном ошейнике. В ухе бирка с номером ""100"". Не агрессивный.
Пристроен несколько дней назад - местности не знает, боится, в руки скорее всего не пойдет. Всю жизнь жил на территории частного дома, в городе будет вести себя непредсказуемо.
Пожалуйста, если увидите его - попытайтесь сфотографировать и позвоните +79139468977 Мария
💬 Автор: [id36034959|Мария Сафрошкина] 

#Ленинский@poterjashkansk 
#poterjashkansk #потеряшканск 
#потерянныеживотныеновосибирск"
poterjashkansk,2096017,
poterjashkansk,2096007,"📍с. Барышево
Потерялись 2 собаки из частного сектора. Домашние. Позже черного видели одного в Кольцово. Информация не подтверждена. Рыжий молодой. Могут бежать по отдельности. В любом районе города.
Кто увидит, пожалуйста, позвоните в любое время 89139196901
💬Автор: [id561726475|Анна Серко] 

#Барышево@poterjashkansk 
#НСО@poterjashkansk 
#Первомайский@poterjashkansk 
#poterjashkansk #потеряшканск #потерянныеживотныеновосибирск"
poterjashkansk,2095966,"📍м. Березовая роща, Дзержинский район
Найден пудель. Кто потерял?
💬Автор: [id213039342|Элина Ли] 

#найденасобака2025@poterjashkansk
#Дзержинский@poterjashkansk
#poterjashkansk #потеряшканск
#потерянныеживотныеновосибирск"
poterjashkansk,2095959,"📍ул. Тульская, Кировский район
16.12 в 22:55 по улице Тульская пробежал в сторону Ватутина далматин взрослый. Со мной не пошёл. Хотела придержать.
💬Автор: [id180673093|Кристина Агеева] 

#найденасобака2025@poterjashkansk
#Кировский@poterjashkansk
#poterjashkansk #потеряшканск #потерянныеживотныеновосибирск"
poterjashkansk,2095957,"📍ул. Степная 63/2, Ленинский район
16 декабря была найдена кошка (белого цвета с серыми пятнами, серый хвост), ранее бегала в районе улицы Бульварная, пряталась под машинами, была сильно замерзшая. 
Ищем старых или новых хозяев!
Кошка спокойная, приучена к лотку, обработана от паразитов, здоровая, осмотрена ветеринаром.
💬Автор: [id36180085|Тагир Тагиров] 

#найденакошка2025@poterjashkansk
#Ленинский@poterjashkansk 
#poterjashkansk #потеряшканск 
#потерянныеживотныеновосибирск"
poterjashkansk,2095952,"📍ул. Петухова, Кировский район
Только что подобрали кобеля (метис таксы), бегал по проезжей части. Скулит, ищет маму. 
Бегала в районе отдела полиции номер 8. Пес умный, хороший. Домашний. Видимо сорвался.
Ошейник прошит вручную, очень тугой.
💬Автор: [id34593308|Наталья Родионова] 

#найденасобака2025@poterjashkansk
#Кировский@poterjashkansk
#poterjashkansk #потеряшканск #потерянныеживотныеновосибирск"
poterjashkansk,2095950,"📍ост. 25 лет Октября, Калининский район
18 декабря найден йорк, мальчик.
Номер для связи 📞
+7-913-486-55-23 Елена
💬Автор: [id29634285|Ольга Попова] 

#найденасобака2025@poterjashkansk
#Калининский@poterjashkansk
#Дзержинский@poterjashkansk
#poterjashkansk #потеряшканск #потерянныеживотныеновосибирск"
poterjashkansk,2095949,"📍ул. 25 лет Октября / Богдана Хмельницкого, Калининский район
18.12.25 в 7-30 потерялся Йорк, 10 месяцев. 
Помогите найти, за вознаграждение! 
Телефон для связи 89139032291
💬Автор: [id19197749|Лилия Кашкарова] 

#пропаласобака2025@poterjashkansk
#Калининский@poterjashkansk
#Дзержинский@poterjashkansk
#poterjashkansk #потеряшканск #потерянныеживотныеновосибирск"
poterjashkansk,2095948,"📍ул. Никитина, Октябрьский район
Встретила пёсика у подъезда, замерзает один, ждёт, со мной не пошел, убегает.
Чей?
💬Автор: [id255920139|Екатерина Родионова] 

#найденасобака2025@poterjashkansk
#Октябрьский@poterjashkansk
#poterjashkansk #потеряшканск
#потерянныеживотныеновосибирск"
poterjashkansk,2095946,"📍ул. Забалуева, Ленинский район

18.12 найден пёс — крупный кобель, привязанный цепью к машине.
Пёс сильно выл, на улице зима и прохладно, поэтому я вышла, покормила его и отвязала. Оставлять собаку на цепи, привязанной к машине, не стала. К сожалению, пока писала пост, не успела за ним проследить — он быстро убежал.

Ночью в течение 20–30 минут ходила, искала, но не нашла. Убежал в сторону железнодорожных путей.

Описание:
🐕 кобель
🐕 крупный, плотный, ухоженный, откормленный
🐕 дружелюбный, активный
🐕 похож на метиса овчарки
🐕 был в ошейнике обычном + от клещей 

Собаку к себе взять не могу, так как дома уже есть крупный кобель — они могут подраться.
Да и я не успела бы взять, очень быстро убежал 
❗Хозяева, пожалуйста, отзовитесь и позвоните по номеру: 8-993-007-12-95

Я буду проверять утром перед работой, появится ли он снова в этом районе, пока гуляю со своим.
Очень надеюсь, что хозяева найдутся🙏
💬Автор: [id297829230|Вероника Ерохина] 

#найденасобака2025@poterjashkansk
#Ленинский@poterjashkansk
#poterjashkansk #потеряшканск
#потерянныеживотныеновосибирск"
poterjashkansk,2095943,"📍жм Приозёрный, пос. Садовый
Нашли в подъезде рыжего кота в зеленом ошейнике. 
Хозяин, отзовись, пожалуйста.
💬Автор: [id15449096|Дарья Бохенская] 

#найденакошка2025@poterjashkansk
#Садовый@poterjashkansk 
#Калининский@poterjashkansk 
#poterjashkansk #потеряшканск #потерянныеживотныеновосибирск"
poterjashkansk,2095942,"📍ул. Титова, Ленинский район
В ночь с 11 на 12 декабря в частном секторе в 1 км от Ростикса подобрал кота. Сначала он сидел на дороге, через 20 минут лежал на снегу и замерзал. 
Кот подобран и сейчас находится в квартире, но срочно ищет хозяина, так как есть уже другой кот. Кот достаточно молодой, не худой, самый кончик хвоста белый. 
8-913-907-05-07 Денис
💬Автор: [id24121123|Денис Долгов] 

#найденакошка2025@poterjashkansk
#Ленинский@poterjashkansk
#poterjashkansk #потеряшканск #потерянныеживотныеновосибирск"
poterjashkansk,2095941,"📍Горский жм, Ленинский район
Нашли щенка на улице. Был замёрзший, голодный. Покормили, отгорели. Но у себя оставить нет возможности. 
Прошу распространить информацию, ищем старых или новых хозяев.
💬Автор: [id329216869|Дарья Макарова] 

#найденасобака2025@poterjashkansk
#Ленинский@poterjashkansk
#poterjashkansk #потеряшканск #потерянныеживотныеновосибирск"
poterjashkansk,2095940,"📍пр. Дзержинского, Дзержинский район
Найден кобель (фенотип той терьера) возле магазина Пятёрочка, забрали с улицы 
Хозяева, звоните 89537990570
💬Автор: [id524860323|Ольга Киселева] 

#найденасобака2025@poterjashkansk
#Дзержинский@poterjashkansk
#poterjashkansk #потеряшканск
#потерянныеживотныеновосибирск"
poterjashkansk,2095939,"📍ул. Лобачевского (частный сектор), Заельцовский район
Найден кот в ошейнике. Едва выжил, обморожен. Люди добрые взяли на время, выхаживают. Я помогаю информационно. 
Вдруг кто-то ищет!
💬Автор: [id209920912|Оксана Шкарлетова] 

#найденакошка2025@poterjashkansk
#Заельцовский@poterjashkansk
#poterjashkansk #потеряшканск #потерянныеживотныеновосибирск"
poterjashkansk,2095937,"📍Советский район
15 марта 2025 года потерялся бигль! Ищем до сих пор и не теряем надежды!
Мальчик, кличка Бигсби, почти 2 года, окрас рыже-черный с белыми пятнами. На нем зеленый ошейник с адресником. На спине небольшое белое пятно. 

Если увидите, сделайте фото / видео и сообщите по номеру телефона +7 923 131-17-20- Дарья, +7 922 859 16 06- Алёна.

Если есть возможность проследите за ним до приезда, чтобы он не убежал 🙏 ну а если вы забрали его себе, не хотите с ним расставаться или у вас еще какие-то причины… свяжитесь со мной. Я заводчик этой собаки, мне важно знать что он жив!!! +7 922 859 16 06- Алёна.

Районы, где может быть - Первомайский, Советский, Академгородок, Кольцово, Ельцовка, Матвеевка, Бердск, Шлюз

Возможно был вывезен в другие города - Барнаул, Омск, Томск, Кемерово.
Присмотритесь возможно у ваших соседей появилась похожая собака!!!
💬Автор: [id19210159|Алёна Ткач] 

#Академгородок@poterjashkansk
#Советский@poterjashkansk
#poterjashkansk #потеряшканск
#потерянныеживотныеновосибирск"
poterjashkansk,2095936,"📍КП Березки-2, с. Новолуговое
‼ПОТЕРЯЛАСЬ КОШКА‼
Откликается на кличку ШЕЙЛА. 
Помогите пожалуйста найти ЗА ВОЗНАГРАЖДЕНИЕ!!
Потерялась кошка летом, в микрорайоне Березки-2, поселок Новолуговое 1, квартал 4-1. Но сейчас может быть где угодно!! 

Гуляла всегда рядом со своим домом, территория безопасная, соседи все друг друга знают, но в тот день внезапно и сильно прогремел салют и кошечка в панике убежала куда глаза глядят 😭. Она ещё сама по себе трусиха!

Шейла очень добрая и ласковая кошка, совсем не агрессивная, но ПУГЛИВАЯ. 

Возраст 12 лет. СЕРАЯ И ПУШИСТАЯ. 

Будем очень благодарны за любую информацию о возможном местонахождении 🙏

Контакты для связи:
8 913 379 70 64 Руслан
8 906 996 72 40 Анастасия
💬Автор: [id881215434|Полина Апельсинова] 

#Новолуговое@poterjashkansk 
#НСО@poterjashkansk 
#Первомайский@poterjashkansk 
#poterjashkansk #потеряшканск #потерянныеживотныеновосибирск"
poterjashkansk,2095935,"📍ЖК Софийский квартал, Ленинский район
В одном из подъездов появился кот, 3 дня выясняли чей, в итоге выставили на мороз🤬 .... 
Найдись хозяин старый или новый. Пока что забрала.
💬Автор: [id336487622|Ника Мороз] 

#найденакошка2025@poterjashkansk
#Ленинский@poterjashkansk 
#poterjashkansk #потеряшканск 
#потерянныеживотныеновосибирск"
poterjashkansk,2095917,"Стали свидетелем жестокости к животному? Не проходите мимо! Не прячьтесь за равнодушием, не заглушайте голос совести. Помните: они безмолвны, но вы можете стать их голосом! Закон на их стороне. Обратитесь в полицию – не дайте животному страдать! 🐶🐾💞
 
#мотиватор@zoohelpnsk#потеряшканск #помощьбездомнымживотным #poterjashkans#poterjashkansk#зоопомощь #zoohelpnsk#помощьживотнымновосибирск #зоопомощьнск"
poterjashkansk,2095912,
poterjashkansk,2095874,"📍 Бердское шоссе, Первомайский район 
Найден кобель, держать у себя не можем.
Очень ласковый, знает некоторые команды, Прибился 17.12 около 10 часов утра.
Срочно ищем старых или новых хозяев!!!
Обращаться по номеру 89960722611
💬 Автор: [id551650951|Виктория Купина] 

#найденасобака2025@poterjashkansk
#Первомайский@poterjashkansk
#poterjashkansk #потеряшканск
#потерянныеживотныеновосибирск"
poterjashkansk,2095873,"📍 СНТ Береговое, Первомайский район 
Потерялась собака, кобель - Восточно европейская овчарка, отзывается на кличку Малыш, 2,7 года. 
Верните за вознаграждение! 🙏
💬 Автор: [id13536417|Олег Бобров] 

#пропаласобака2025@poterjashkansk
#Первомайский@poterjashkansk
#poterjashkansk #потеряшканск
#потерянныеживотныеновосибирск"
poterjashkansk,2095871,"📍ул. Никитина, Октябрьский район 
Рядом со зданием СибНиипроектцемент прибился пес. Есть ошейник. 
Кто потерял?
💬 Автор: [id85993899|Станислав Мурзин] 

#найденасобака2025@poterjashkansk
#Октябрьский@poterjashkansk
#poterjashkansk #потеряшканск
#потерянныеживотныеновосибирск"
poterjashkansk,2095869,"📍ул. 1905 года / Нарымская, Железнодорожный район 
Около цирка потерялся йорк мальчик, кличка Дэни. 
Помогите пожалуйста найти!

💬 Автор: [id114059515|Анастасия Сорокун] 

#пропаласобака2025@poterjashkansk
#Железнодорожный@poterjashkansk
#poterjashkansk #потеряшканск #потерянныеживотныеновосибирск"
poterjashkansk,2095816,
poterjashkansk,2095793,"Половое влечение заставляет животное забыть об инстинкте самосохранения, отодвигает на второй план чувство голода и дискомфорт «бездомной» жизни.

#мотиватор@zoohelpnsk
#потеряшканск 
#помощьбездомнымживотным 
#poterjashkans
#poterjashkansk
#зоопомощь 
#zoohelpnsk
#помощьживотнымновосибирск 
#зоопомощьнск"
poterjashkansk,2095768,"📍ул. Челюскинцев, Железнодорожный район
Помогаю информационно. 
В подъезд утром 17 декабря найдена кошка или кот (пол не смогли определить так, как животное в стрессе), возраст молодой, на вид чистая. 
Чья потеряшка?
89963811783
💬 Автор: [id797080538|Галина Ковалева] 

#найденакошка2025@poterjashkansk
#Железнодорожный@poterjashkansk 
#poterjashkansk #потеряшканск #потерянныеживотныеновосибирск"
poterjashkansk,2095767,"📍ул. Учительская, Дзержинский / Калининский район
Найден щенок. Чей потеряшка?
💬 Автор: [id7541164|Кристина Коргуль] 

#найденасобака2025@poterjashkansk
#Дзержинский@poterjashkansk 
#Калининский@poterjashkansk
#poterjashkansk #потеряшканск 
#потерянныеживотныеновосибирск"
poterjashkansk,2095766,"📍СНТ Ёлочка-2, ул. Дукача, Ленинский район
Прибилась собака (не смогла посмотреть мальчик или девочка), очень ласковая, ухоженная. 
Возможно кто-то ищет. 
89137608990 Елена
💬 Автор: [id105831676|Елена Городилова] 

#найденасобака2025@poterjashkansk
#Ленинский@poterjashkansk 
#poterjashkansk #потеряшканск 
#потерянныеживотныеновосибирск"
poterjashkansk,2095765,
poterjashkansk,2095764,"📍ул. Широкая, Ленинский район
Найден щенок в ошейнике. Срочно ищем хозяев!
💬 Автор: [id586196678|Виктория Аксентьева] 

#найденасобака2025@poterjashkansk
#Ленинский@poterjashkansk 
#poterjashkansk #потеряшканск 
#потерянныеживотныеновосибирск"
poterjashkansk,2095762,"📍ул. Немировича-Данченко, Кировский район
Ушёл вчера, может быть в районе Областной больницы, ул. Горская. Вознаграждение 
8966 500 00 28
💬 Автор: [id629214031|Лилия Соловьева] 

#пропаласобака2025@poterjashkansk
#Кировский@poterjashkansk 
#poterjashkansk #потеряшканск #потерянныеживотныеновосибирск"
poterjashkansk,2095760,"📍ул. Высоцкого, Октябрьский район
Замечена собака возле магазина. Кто потерял?
💬 Автор: [id196146954|Леся Пан] 

#найденасобака2025@poterjashkansk
#Октябрьский@poterjashkansk 
#poterjashkansk #потеряшканск 
#потерянныеживотныеновосибирск"
poterjashkansk,2095759,"📍р.п. Мошково
16.12.2025 возле придорожного кафе Транзит найден молодой кобель дворовой породы, мальчик ухоженный, воспитанный, ласковый, знает поводок. 
Временно приютили, вернут только прежнему владельцу. Информация по телефону +7 952 934-76-72 кафе Транзит
💬 Автор: [id24240235|Светлана Некрасова] 

#найденасобака2025@poterjashkansk
#Мошково@poterjashkansk 
#НСО@poterjashkansk 
#poterjashkansk #потеряшканск #потерянныеживотныеновосибирск"
poterjashkansk,2095754,"📍Октябрьский район
Бегает черно-белый алабай будто потерялся , не подходит
💬 Автор: [id14764717|Lera Volkova] 

#найденасобака2025@poterjashkansk
#Октябрьский@poterjashkansk 
#poterjashkansk #потеряшканск 
#потерянныеживотныеновосибирск"
poterjashkansk,2095752,"📍СНТ Ключи-4 Восточные, пос. Каменушка
Бегают две овчарки в ошейниках, проявляют агрессию. 
Хозяева, забирайте скорее, пока не случилось беды!
💬 Автор: [id27791290|Алёна Колобова] 

#найденасобака2025@poterjashkansk
#Академгородок@poterjashkansk 
#Советский@poterjashkansk 
#poterjashkansk #потеряшканск 
#потерянныеживотныеновосибирск"
poterjashkansk,2095751,
poterjashkansk,2095747,"📍ул. Короленко / Далидовича, Октябрьский район
16.12 потерялась маленькая кошка, по кличке Тигра.
Я очень прошу, если кто-то заметит, пожалуйста дайте знак. Я буду безумно благодарна 
💬 Автор: [id625865232|Ангелина Евгеньевна] 

#пропалакошка2025@poterjashkansk
#Октябрьский@poterjashkansk 
#poterjashkansk #потеряшканск 
#потерянныеживотныеновосибирск"
poterjashkansk,2095740,"📍пр. Дзержинского, Дзержинский район
К дому прибился кот/кошка, может кто-то потерял?
К сожалению, ближе сфотографировать не получилось, сразу убегает. 
💬 Автор: [id124232049|Daniel Collins] 

#найденакошка2025@poterjashkansk
#Дзержинский@poterjashkansk 
#poterjashkansk #потеряшканск 
#потерянныеживотныеновосибирск"
poterjashkansk,2095671,
poterjashkansk,2095642,"📍Ляпидевского д5 📍Заельцовский район 📍
16 декабря в 19:00
Нашли кота, по виду домашний 
Возле жилого дома Луна
Очень ласковый и крупный, на вид месяцев 8-10, ухоженный 
Найдетесь хозяева 
89231908432
Автор:  [id453582124|Mari Mari]

#найденакошка2025@poterjashkansk
#Заельцовский@poterjashkansk
#poterjashkansk #потеряшканск
#потерянныеживотныеновосибирск"
poterjashkansk,2095626,"📍р.п. Кольцово / Академгородок, Советский район 
Подобрала по трассе между Кольцово и Академом кобеля аусси сегодня, 17.12 в 11:40. Ухоженный в ошейнике, скорее всего сбежал. 
Возврат только при предъявлении документов/фото.
💬 Автор: [id33321772|Полина Артамонова] 

#найденасобака2025@poterjashkansk
#Кольцово@poterjashkansk
#НСО@poterjashkansk
#Академгородок@poterjashkansk
#Советский@poterjashkansk
#poterjashkansk #потеряшканск #потерянныеживотныеновосибирск"
poterjashkansk,2095613,
poterjashkansk,2095591,"📍ул. Спортивная, Ленинский район 
Помогите найти хозяев: предположительно кошка выпала из окна. 
Очень ласковая, похожа на домашнюю и хромает на заднюю лапу. 
Номер телефона того, кто нашел 7 9529255331
💬 Автор: [id101457329|Марина Воробьева] 

#Ленинский@poterjashkansk
#poterjashkansk #потеряшканск
#потерянныеживотныеновосибирск"
poterjashkansk,2095589,"📍ул. Районная, Ленинский район 
Найдена собака, хозяева 
отзовитесь.
💬 Автор: [id39123369|Татьяна Смирнова] 

#найденасобака2025@poterjashkansk
#Ленинский@poterjashkansk
#poterjashkansk #потеряшканск
#потерянныеживотныеновосибирск"
poterjashkansk,2095587,
poterjashkansk,2095577,"📍Дзержинский район
‼🔴ПРОПАЛА СОБАКА МИРА🔴
Дата пропажи: 7 ноября 2025г. г.Новосибирск .
Сейчас собака территориально может быть где угодно .
Мира — молодая собака, спасённая из заброшенного СНТ вместе со щенками.

Кличка: Мира , на имя может не откликаться.
Размер : небольшая ,ниже колена.
Окрас: белая, только ушки рыжие, мордочка в конопушках -веснушках.

Осторожная по характеру, проявляет хорошо охранные качества , со знакомыми людьми добрая и нежная .

Мира сбежала с передержки, пробила анкерный болт в заборе и убежала.

Огромная просьба, если кто увидит где она бегает сообщить в Вацап или позвонить по номеру
Ольга +7 913 767-51-38
Ольга +7 905 946-30-35
Румия +79963773472/ Telegram / WhatsApp]

Нужна также Ваша помощь в распространении Репостов !🙏🏻
🙏🏻Просим Вас помочь нам найти Миру. 
🙏🏻Пожалуйста, разместите пост в группах , в чатах....
Покажите фото объявления знакомым. Любая информация очень важна!
💰 Нашедшему хорошее вознаграждение !!!
💬Автор: [id650733158|Ольга Владимировна] 

#Дзержинский@poterjashkansk 
#poterjashkansk #потеряшканск 
#потерянныеживотныеновосибирск"
poterjashkansk,2095555,"📍ул. Невельского 29 (3 подъезд), Ленинский район 
16.12 в 22.18 унесли собаку. Мопс, глухой, на голос не отзывается. Выбежал из машины, пока искали его уже унесли. 
Верните, пожалуйста
89930192394
💬 Автор: [id750492206|Александра Яковлева] 

#пропаласобака2025@poterjashkansk
#Ленинский@poterjashkansk
#poterjashkansk #потеряшканск
#потерянныеживотныеновосибирск"
poterjashkansk,2095507,"📍ул. Военная, Центральный район 
На прогулке убежал лабрадор. Помогите пожалуйста найти.
89881559190
💬 Автор: [id48028982|Светлана Мельникова] 

#пропаласобака2025@poterjashkansk
#Центральный@poterjashkansk
#poterjashkansk #потеряшканск #потерянныеживотныеновосибирск"
poterjashkansk,2095505,"📍ул. Военная, Центральный район 
Найден лабрадор, мальчик.
Срочно ищем хозяев 
89618461432
💬 Автор: [id183579946|Марина Бурлягина] 

#найденасобака2025@poterjashkansk
#Центральный@poterjashkansk
#poterjashkansk #потеряшканск #потерянныеживотныеновосибирск"
poterjashkansk,2095465,"Лучшая помощь бездомному животному — стать для него заботливым хозяином 🏠❤️🐾

#мотиватор@zoohelpnsk
#потеряшканск 
#помощьбездомнымживотным 
#poterjashkans
#poterjashkansk
#зоопомощь 
#zoohelpnsk
#помощьживотнымновосибирск 
#зоопомощьнск"
poterjashkansk,2095416,"В одном родительском паблике мама написала пост. Подпись: ""Дочь в 7 классе. Каждый день одно и то же — сижу над душой, пока уроки не сделает. Отбираю телефон — истерика. Ругаюсь — в одно ухо влетело, в другое вылетело. Оценки всё хуже. Устала уже. Что делать?""

В комментах началось:

""Строже надо! Без телефона неделю посидит — быстро поумнеет""
""А потом удивляемся, почему дети учиться не хотят""
""Нас так же воспитывали, ничего, выросли""
""Выросли, но сами детей заставляете так же""
""Ну а как иначе? Сама же не будет учиться""
""А может, в этом и проблема? Что из-под палки""
""И что, просто не трогать её? Двойки приносить пусть?""
""К психологу надо. Понять, в чём причина""
""Это сразу тысяч 5-10 за сеанс. Не у всех такие деньги""
Кто-то написал: ""У меня сын так же был. Я посмотрела один семинар бесплатный про детскую мотивацию, реально помогло. Там психолог объяснял, почему дети не хотят учиться и как это изменить. Не знаю, может кому поможет: https://ukids.academy/pp_ucheba_az?rs=mpukids-av_angelina_1411167_5407622-t28r2kn&utm_source=mpukids-av&utm_medium=angelina&utm_campaign=1411167&utm_content=5407622 ""
""Что за семинар?""
""Академия Ukids, про детей 6-15 лет. Там час всего, но по делу. Без воды и продаж. Мне зашло, хоть поняла наконец что делаю не так""
""Сохранила, спасибо""

Несколько человек тоже сохранили ссылку. Остальные продолжили спорить про наказания.

А вы как считаете, можно ли заставить ребёнка учиться? Или это вообще не работает?"
poterjashkansk,2095404,"📍Мочищенское шоссе, Заельцовский район 
16.12 в 17:40 пробегали два хаски и палевый лабрадор, чья троица?
💬 Автор: [id52151588|Екатерина Алексеевна] 

#найденасобака2025@poterjashkansk
#Заельцовский@poterjashkansk
#poterjashkansk #потеряшканск #потерянныеживотныеновосибирск"
poterjashkansk,2095399,"📍ЖК Светлый, пос. Октябрьский, Мошковский район
Сбежала из дома с 14.12 на 15.12.
Огромная просьба, кто видел или приютил ее - отзовитесь!
Это член семьи, собака сына, пожалуйста сообщите, любая информация очень важна!
8-999-450-61-22
💬 Автор: [id25411632|Алёна Братчикова] 

#пропаласобака2025@poterjashkansk
#поселок_Октябрьский@poterjashkansk
#Мошковский@poterjashkansk 
#НСО@poterjashkansk 
#poterjashkansk #потеряшканск 
#потерянныеживотныеновосибирск"
poterjashkansk,2095396,
poterjashkansk,2095388,"📍ЖК Дежнёв, Заельцовский / Калининский район
Найден йорк, ищем хозяев
Телеграмм: t.me/BantikovaAn
💬 Автор: [id396901384|Евгения Малева] 

#найденасобака2025@poterjashkansk
#Заельцовский@poterjashkansk 
#Калининский@poterjashkansk
#poterjashkansk #потеряшканск #потерянныеживотныеновосибирск"
poterjashkansk,2095379,"📍ул. Спортивная, Ленинский район
Найден котейка. Сейчас находится в подъезде. 
Предположительно перелом лапки. Хозяева, срочно отзовитесь!
8 913 940 85 14 - мой телефон для связи, помогаю информационно 
💬 Автор: [id88814955|Татьяна Третьякова] 

#найденакошка2025@poterjashkansk
#Ленинский@poterjashkansk 
#poterjashkansk #потеряшканск 
#потерянныеживотныеновосибирск"
poterjashkansk,2095372,"📍ул. Колхидская 9, кв 42, Ленинский район
Найдите пожалуйста и если можете привести на адрес Колхидская 9 квартира 42 
Хозяйка Зовут Елена номер телефона 89538954520
💬 Автор: [id224946827|Марк Волканин] 

#пропаласобака2025@poterjashkansk
#Ленинский@poterjashkansk 
#poterjashkansk #потеряшканск 
#потерянныеживотныеновосибирск"
